Deal Status,Unit Type,Model Year,Model,ShortVIN,Inv. Prep. Stat.,Deal Completion,GPS Fix,GPS Fix Reason,Moving (Calc),PT Status,PT Serial ,Encore Serial,PT Last Read,State Loc,PT City,PT ZipCode,Lat,Long
ACTIVE,Truck,2020,Cascadia PT126SLP,LM5433,  Available,90.48%,2x encores,"1x no signal
1x mid battery",1,Enabled,26342437,83017834,2025-12-04 07:45:00,NM,Newkirk, 88431,35.06565,-104.270297
ACTIVE,Truck,2020,Cascadia PT126SLP,LP8403,  Available,49.96%,Fully Working,Properly working,1,Enabled,26737336,84091091,2025-12-04 11:27:00,CA,Stanislaus County, 92316,37.50645,-117.372657
ACTIVE,Truck,2020,Cascadia PT126SLP,LP9269,  Available,37.50%,Fully Working,Properly working,1,Enabled,66757909,84275785,2025-12-04 06:02:00,CA,Fresno, 93706,36.747392,-119.838135
ACTIVE,Truck,2020,Cascadia PT126SLP,LR0278,  Available,37.50%,1x passtime,Driving disabled,1,Enabled,66757918,84276324,2025-12-04 08:09:00,TX,San Jon, 73601,35.517883,-98.868832
ACTIVE,Truck,2020,Cascadia PT126SLP,LR0627,  Available,41.67%,1x passtime,Driving disabled,-1,Enabled,66757929,84308255,2025-12-04 07:57:00,CA,San Bernardino County, 86004,35.13114,-111.190007
ACTIVE,Truck,2020,Cascadia PT126SLP,LR3976,  Available,91.67%,2x encores,"1x discharged
1x never installed",1,Enabled,26317188,82156344,2025-12-03 11:34:00,MA,Parma Township, 49269,42.264665,-84.622883
ACTIVE,Truck,2020,Cascadia PT126SLP,LT8491,  Out for Repo,37.50%,1x encore,1x unmounted,-1,Disabled,26736799,84308331,2025-12-04 02:57:00,CA,Ceres, 95307,37.56354,-120.921135
ACTIVE,Truck,2020,Cascadia PT126SLP,LU4820,  Available,19.23%,Fully Working,Properly working,1,Enabled,66762144,84321735,2025-12-04 10:37:00,IN,Morton, 46112,40.919872,-86.372445
ACTIVE,Truck,2020,Cascadia PT126SLP,LV8823,  Available,19.23%,Fully Working,Properly working,-1,Enabled,66762171,84321185,2025-12-04 05:15:00,CA,Fresno, 93722,36.804308,-119.866145
ACTIVE,Truck,2020,Cascadia PT126SLP,LW7683,  Available,40.00%,Fully Working,Properly working,1,Enabled,26736811,84230284,2025-12-04 10:32:00,IN,Indianapolis, 46140,39.820453,-85.918103
ACTIVE,Truck,2020,Cascadia PT126SLP,LX5283,  Available,50.00%,1x passtime,Driving disabled,1,Enabled,26736437,84230255,2025-12-04 08:37:00,UT,Salt Lake City, 93203,40.738627,-111.996158
ACTIVE,Truck,2020,Cascadia PT126SLP,MC0020,  Available,66.63%,Fully Working,Properly working,1,Disabled,26704413,84028511,2025-12-04 00:42:00,VA,Verona, 22660,38.967263,-78.43718
